Player,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Adrien Tameze,Hellas Verona,26,1994,25.6,53,41,26,24,3,12,34,35.3,22,449,143,31.8,132,232,85,50,9,0,41,35,88,55,2
Mattias Svanberg,Bologna,21,1999,20.6,40,17,18,14,8,10,42,23.8,32,307,79,25.7,116,134,57,33,3,0,30,36,76,27,0
Stefano Sturaro,Genoa,27,1993,4.9,12,7,3,7,2,3,11,27.3,8,110,27,24.5,31,58,21,10,0,0,10,2,14,2,0
Stefano Sturaro,Hellas Verona,27,1993,4.7,9,5,3,5,1,3,9,33.3,6,101,23,22.8,22,58,21,8,0,0,8,2,11,10,0
Kevin Strootman,Genoa,30,1990,14.6,43,27,21,21,1,22,38,57.9,16,334,96,28.7,122,158,54,36,3,0,33,28,71,16,0
Roberto Soriano,Bologna,29,1991,36.1,47,32,19,19,9,11,61,18.0,50,606,157,25.9,147,270,189,37,7,0,30,25,72,47,0
Simon Sohm,Parma,19,2001,10.0,18,11,11,6,1,7,14,50.0,7,153,31,20.3,52,77,24,10,1,0,9,3,21,10,0
Adrien Silva,Sampdoria,31,1989,17.8,49,26,25,22,2,13,45,28.9,32,497,142,28.6,166,254,77,39,3,0,36,34,83,14,0
Luca Siligardi,Crotone,32,1988,0.5,2,2,0,1,1,1,5,20.0,4,15,5,33.3,3,8,4,1,0,0,1,0,2,0,0
Stefano Sensi,Inter,24,1995,6.7,13,10,6,5,2,3,9,33.3,6,121,30,24.8,42,49,30,5,1,0,4,10,23,2,1
LÃ©o Sena,Spezia,24,1995,9.8,24,15,10,9,5,9,24,37.5,15,159,54,34.0,50,80,29,24,4,0,20,13,37,8,0
Jacopo Segre,Torino,23,1997,2.1,6,5,3,2,1,2,5,40.0,3,27,11,40.7,10,14,3,1,0,0,1,0,6,1,0
Matteo Scozzarella,Parma,32,1988,1.7,3,1,2,1,0,2,3,66.7,1,18,5,27.8,5,12,1,5,1,0,4,6,9,1,0
Jerdy Schouten,Bologna,23,1997,27.9,50,40,19,30,1,10,31,32.3,21,431,131,30.4,167,207,57,51,14,1,37,79,129,45,2
Pasquale Schiattarella,Benevento,33,1987,25.0,46,35,29,16,1,20,46,43.5,26,281,106,37.7,131,132,18,29,6,0,23,23,69,39,1
NicolÃ¡s Schiappacasse,Sassuolo,21,1999,0.2,0,0,0,0,0,0,0,,0,4,2,50.0,0,0,4,0,0,0,0,0,0,0,0
Siriki Sanogo,Benevento,18,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
FabiÃ¡n Ruiz PeÃ±a,Napoli,24,1996,28.5,49,40,20,20,9,20,69,29.0,49,471,141,29.9,132,214,125,44,3,0,41,40,89,40,0
NicolÃ² Rovella,Genoa,18,2001,13.2,28,16,15,10,3,6,22,27.3,16,308,68,22.1,130,143,35,26,1,0,25,18,46,26,0
Marten de Roon,Atalanta,29,1991,33.6,95,67,33,47,15,26,87,29.9,61,673,231,34.3,172,376,125,45,7,0,38,69,164,78,0
Marko Rog,Cagliari,25,1995,12.9,39,25,16,20,3,6,25,24.0,19,318,90,28.3,103,158,57,22,7,0,15,12,51,11,0
TomÃ¡s RincÃ³n,Torino,32,1988,31.6,78,47,33,34,11,27,70,38.6,43,510,174,34.1,171,255,84,37,7,0,30,30,108,54,0
Matteo Ricci,Spezia,26,1994,24.8,44,32,14,27,3,14,51,27.5,37,325,102,31.4,103,177,45,38,4,0,34,30,74,19,0
Aaron Ramsey,Juventus,29,1990,12.1,24,16,8,14,2,5,24,20.8,19,225,73,32.4,54,108,63,14,2,0,12,6,30,9,1
Adrien Rabiot,Juventus,25,1995,25.7,72,45,28,33,11,25,57,43.9,32,485,144,29.7,160,240,85,46,11,0,35,31,103,37,1
Erick Pulgar,Fiorentina,26,1994,22.2,46,32,24,21,1,19,50,38.0,31,325,106,32.6,127,157,41,45,12,0,33,35,81,49,0
Andrea Poli,Bologna,30,1989,4.3,7,7,1,3,3,3,16,18.8,13,72,24,33.3,25,37,10,17,1,0,16,7,14,6,0
Tommaso Pobega,Spezia,21,1999,13.7,31,21,9,15,7,5,25,20.0,20,264,73,27.7,60,150,54,19,2,0,17,14,45,23,1
Jacopo Petriccione,Crotone,25,1995,10.6,15,9,6,8,1,9,25,36.0,16,141,44,31.2,58,67,16,13,4,0,9,8,23,8,0
Matteo Pessina,Atalanta,23,1997,18.3,17,12,4,9,4,4,23,17.4,19,275,100,36.4,43,127,105,28,3,0,25,14,31,13,0
Martin Palumbo,Udinese,18,2002,0.7,1,0,0,0,1,0,1,0.0,1,14,0,0.0,1,9,4,5,0,0,5,1,2,1,0
Antonio Palumbo,Sampdoria,23,1996,0.1,0,0,0,0,0,0,0,,0,12,1,8.3,3,6,3,0,0,0,0,0,0,0,0
Mattia Pagliuca,Bologna,18,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,0,0,3,0,0,0,0,1,1,0,0
Christian Oliva,Cagliari,24,1996,4.3,7,4,2,3,2,2,7,28.6,5,77,17,22.1,31,39,7,9,1,0,8,5,12,9,1
Pedro Obiang,Sassuolo,28,1992,16.3,41,27,16,20,5,11,33,33.3,22,321,95,29.6,90,167,64,34,9,0,25,14,55,36,1
Radja Nainggolan,Cagliari,32,1988,20.5,42,34,22,14,6,7,28,25.0,21,270,93,34.4,108,124,38,20,1,0,19,29,71,16,1
Radja Nainggolan,Inter,32,1988,0.5,2,2,0,2,0,0,0,,0,10,5,50.0,2,5,3,1,0,0,1,0,2,0,0
RaÃºl Moro,Lazio,17,2002,0.1,0,0,0,0,0,0,0,,0,9,2,22.2,1,3,5,0,0,0,0,0,0,0,0
Luca Mora,Spezia,32,1988,1.3,3,3,1,2,0,1,2,50.0,1,25,10,40.0,7,13,5,2,1,0,1,1,4,2,0
Sergej MilinkoviÄ‡-SaviÄ‡,Lazio,25,1995,30.5,74,46,25,33,16,30,91,33.0,61,526,147,27.9,157,246,123,57,13,1,44,37,111,52,0
Petar MiÄ‡in,Udinese,21,1998,0.2,0,0,0,0,0,0,0,,0,9,1,11.1,1,3,5,0,0,0,0,0,0,0,0
Arthur Melo,Juventus,23,1996,12.9,22,15,10,12,0,5,25,20.0,20,208,62,29.8,77,105,26,12,2,1,10,16,38,9,2
Soualiho MeÃ¯tÃ©,Torino,26,1994,10.2,10,6,6,3,1,3,21,14.3,18,149,38,25.5,60,59,30,24,0,0,24,10,20,10,1
Soualiho MeÃ¯tÃ©,Milan,26,1994,6.5,16,12,9,5,2,8,17,47.1,9,132,47,35.6,42,71,19,15,2,0,13,8,24,18,0
Weston McKennie,Juventus,21,1998,18.9,45,28,14,25,6,14,37,37.8,23,413,105,25.4,100,209,104,26,6,0,20,23,68,25,0
Ryder Matos,Udinese,27,1993,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0
RÄƒzvan Marin,Cagliari,24,1996,32.9,66,49,32,25,9,25,52,48.1,27,572,156,27.3,186,312,74,32,9,0,23,26,92,23,0
Rolando Mandragora,Torino,23,1997,16.9,26,17,10,10,6,8,33,24.2,25,354,91,25.7,119,170,65,18,6,0,12,19,45,27,0
Rolando Mandragora,Udinese,23,1997,4.4,8,5,3,4,1,3,12,25.0,9,71,16,22.5,32,28,11,14,3,0,11,3,11,5,0
Jean-Victor Makengo,Udinese,22,1998,5.8,9,7,5,2,2,2,14,14.3,12,105,29,27.6,44,44,17,5,1,0,4,3,12,5,0
Francesco Magnanelli,Sassuolo,35,1984,4.9,10,8,5,4,1,5,15,33.3,10,73,25,34.2,31,34,8,10,2,0,8,5,15,19,0
Giulio Maggiore,Spezia,22,1998,24.6,72,48,27,36,9,23,53,43.4,30,495,138,27.9,118,265,112,37,6,0,31,27,99,27,0
SaÅ¡a LukiÄ‡,Torino,23,1996,23.4,39,28,13,20,6,11,49,22.4,38,494,134,27.1,124,270,100,40,5,0,35,15,54,15,0
Maxime Lopez,Sassuolo,22,1997,20.7,28,19,18,7,3,12,38,31.6,26,363,103,28.4,121,169,73,15,2,0,13,23,51,6,0
Manuel Locatelli,Sassuolo,22,1998,32.0,87,52,35,37,15,25,56,44.6,31,461,141,30.6,168,213,80,57,17,0,40,43,130,70,1
Stanislav Lobotka,Napoli,25,1994,1.7,1,1,0,1,0,0,1,0.0,1,21,5,23.8,4,10,7,1,1,0,0,1,2,1,0
Karol Linetty,Torino,25,1995,20.4,50,30,18,22,10,12,39,30.8,27,324,91,28.1,113,157,54,22,6,0,16,16,66,10,0
Lukas Lerager,Genoa,27,1993,12.9,27,20,15,10,2,4,28,14.3,24,220,60,27.3,72,104,44,20,3,0,17,13,40,24,2
Lucas Leiva,Lazio,33,1987,23.7,70,45,37,31,2,29,92,31.5,63,505,171,33.9,203,262,40,28,1,0,27,45,115,45,0
Jasmin KurtiÄ‡,Parma,31,1989,30.4,59,34,25,30,4,17,59,28.8,42,520,141,27.1,194,261,65,27,2,0,25,34,93,60,0
MÃ¡rk Kosznovszky,Parma,18,2002,1.0,2,0,1,1,0,1,3,33.3,2,16,1,6.3,2,6,8,3,0,0,3,3,5,0,0
Franck KessiÃ©,Milan,23,1996,35.8,72,44,45,19,8,26,42,61.9,16,536,160,29.9,171,279,86,75,18,0,57,43,115,59,0
Jakub Jankto,Sampdoria,24,1996,26.8,22,10,12,8,2,9,38,23.7,29,377,84,22.3,96,162,119,42,3,0,39,19,41,30,0
Mato Jajalo,Udinese,32,1988,0.4,2,2,2,0,0,0,0,,0,4,3,75.0,4,0,0,1,0,0,1,0,2,3,1
Artur IoniÈ›Äƒ,Benevento,29,1990,31.5,51,35,19,27,5,15,56,26.8,41,543,159,29.3,141,299,103,44,13,0,31,35,86,31,0
Ivan IliÄ‡,Hellas Verona,19,2001,20.4,24,14,7,12,5,6,23,26.1,17,269,84,31.2,66,140,63,28,4,0,24,31,55,26,0
PÃ«rparim Hetemaj,Benevento,33,1986,24.6,59,37,38,17,4,35,76,46.1,41,495,126,25.5,219,206,70,49,5,0,44,32,91,27,0
Hernani,Parma,26,1994,24.3,55,26,26,26,3,27,64,42.2,37,620,130,21.0,193,327,100,50,5,0,45,20,75,44,1
Eduardo Henrique,Crotone,25,1995,10.3,7,2,3,3,1,2,11,18.2,9,142,32,22.5,44,64,34,13,2,0,11,10,17,10,0
Tomislav Gomelt,Crotone,25,1995,0.2,2,2,1,0,1,0,2,0.0,2,8,2,25.0,2,4,2,0,0,0,0,0,2,0,0
Roberto Gagliardini,Inter,26,1994,13.7,29,17,13,11,5,8,32,25.0,24,236,63,26.7,92,104,40,19,3,0,16,15,44,16,0
Remo Freuler,Atalanta,28,1992,30.1,74,56,23,38,13,22,71,31.0,49,639,188,29.4,150,326,163,52,4,0,48,50,124,39,0
Andri Fannar Baldursson,Bologna,18,2002,2.4,5,3,3,1,1,1,3,33.3,2,74,12,16.2,27,34,13,5,1,0,4,1,6,8,0
NicolÃ² Fagioli,Juventus,19,2001,0.2,0,0,0,0,0,0,0,,0,5,2,40.0,1,3,1,1,0,0,1,0,0,0,0
Nahuel EstÃ©vez,Spezia,24,1995,19.6,17,13,6,8,3,4,34,11.8,30,315,84,26.7,78,163,74,25,5,0,20,32,49,29,0
Gonzalo Escalante,Lazio,27,1993,8.1,28,19,11,15,2,9,30,30.0,21,170,62,36.5,71,86,13,12,2,0,10,9,37,23,0
Christian Eriksen,Inter,28,1992,15.4,12,8,8,2,2,5,21,23.8,16,177,51,28.8,52,77,48,22,2,0,20,10,22,14,1
Manu Emmanuel Gyabuaa,Atalanta,18,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
Albin Ekdal,Sampdoria,31,1989,25.5,62,49,20,35,7,20,65,30.8,45,585,177,30.3,183,320,82,53,13,0,40,34,96,44,0
Steeve-Mike Ebongue,Genoa,19,2001,0.6,1,1,0,0,1,0,2,0.0,2,16,7,43.8,7,5,4,1,0,0,1,1,2,1,0
Alfred Duncan,Fiorentina,27,1993,1.8,1,1,0,1,0,0,2,0.0,2,20,5,25.0,4,9,7,2,0,0,2,3,4,4,0
Alfred Duncan,Cagliari,27,1993,11.9,23,15,13,8,2,6,17,35.3,11,208,55,26.4,77,106,25,8,0,0,8,16,39,14,0
NicolÃ¡s DomÃ­nguez,Bologna,22,1998,13.9,52,35,30,18,4,11,28,39.3,17,350,92,26.3,147,153,50,31,7,0,24,25,77,21,0
Amadou Diawara,Roma,23,1997,7.3,14,12,5,9,0,4,12,33.3,8,195,42,21.5,50,127,18,11,2,0,9,9,23,11,0
Amad Diallo,Atalanta,18,2002,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
Fabio Depaoli,Sampdoria,23,1997,0.9,1,0,0,0,1,1,3,33.3,2,18,4,22.2,8,6,4,0,0,0,0,0,1,2,0
Diego Demme,Napoli,28,1991,17.7,62,37,24,29,9,18,63,28.6,45,427,125,29.3,134,215,78,16,1,0,15,17,79,23,0
Lorenzo Del Pinto,Benevento,30,1990,0.1,0,0,0,0,0,0,1,0.0,1,3,0,0.0,1,0,2,0,0,0,0,0,0,1,0
Alessandro Deiola,Cagliari,24,1995,6.8,13,7,7,2,4,4,18,22.2,14,128,27,21.1,52,57,19,12,3,0,9,15,28,17,0
Alessandro Deiola,Spezia,24,1995,4.0,9,6,5,4,0,5,9,55.6,4,78,20,25.6,21,43,14,4,1,0,3,2,11,2,0
Rodrigo De Paul,Udinese,26,1994,35.6,44,29,21,21,2,20,62,32.3,42,488,135,27.7,189,194,105,59,2,0,57,19,63,23,1
Ebrima Darboe,Roma,19,2001,3.6,6,4,1,3,2,2,11,18.2,9,67,21,31.3,13,43,11,3,0,0,3,13,19,0,1
Bryan Dabo,Benevento,28,1992,12.4,15,8,9,4,2,6,18,33.3,12,181,52,28.7,59,93,29,15,2,0,13,14,29,18,0
Wylan Cyprien,Parma,25,1995,4.6,10,6,7,3,0,2,6,33.3,4,69,18,26.1,33,30,6,13,6,0,7,3,13,11,2
Mamadou Coulibaly,Udinese,21,1999,2.0,10,7,4,6,0,0,2,0.0,2,36,6,16.7,8,24,4,3,1,0,2,1,11,0,0
FÃ©lix Correia,Juventus,19,2001,0.1,0,0,0,0,0,0,0,,0,7,0,0.0,2,3,2,0,0,0,0,0,0,0,0
Luca Cigarini,Crotone,34,1986,10.3,25,17,9,14,2,12,34,35.3,22,168,53,31.5,62,85,21,16,1,0,15,10,35,8,1
Danilo Cataldi,Lazio,25,1994,6.3,9,7,2,5,2,2,21,9.5,19,125,34,27.2,34,66,25,6,1,0,5,9,18,4,0
Gaetano Castrovilli,Fiorentina,23,1997,25.9,44,29,24,11,9,13,39,33.3,26,509,168,33.0,192,205,112,37,4,0,33,31,75,23,0
Giuseppe Caso,Genoa,21,1998,0.6,0,0,0,0,0,0,1,0.0,1,10,4,40.0,2,6,2,1,0,0,1,2,2,1,0
Antonio Candreva,Sampdoria,33,1987,27.8,25,14,14,9,2,18,48,37.5,30,283,74,26.1,103,108,72,39,3,0,36,25,50,22,0
Drissa Camara,Parma,18,2002,0.2,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,0,0,0,0,0,0,0,0
Fabrizio Caligara,Cagliari,20,2000,2.0,4,3,1,2,1,3,10,30.0,7,73,14,19.2,18,40,15,8,3,0,5,3,7,4,0
GastÃ³n Brugman,Parma,27,1992,18.0,42,25,18,20,4,16,48,33.3,32,344,97,28.2,159,151,34,38,4,0,34,37,79,32,1
Marcelo BrozoviÄ‡,Inter,27,1992,28.7,52,36,22,22,8,12,55,21.8,43,534,154,28.8,193,249,92,48,17,1,31,39,91,45,0
Edoardo Bove,Roma,18,2002,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,2,1,0,0,0,0,0,0,0,0,0
Mehdi Bourabia,Sassuolo,28,1991,5.9,8,6,2,5,1,4,9,44.4,5,94,31,33.0,30,49,15,18,6,0,12,8,16,11,0
Giacomo Bonaventura,Fiorentina,30,1989,25.1,40,29,16,18,6,12,43,27.9,31,360,97,26.9,112,172,76,34,2,0,32,38,78,16,0
Marco Bertini,Lazio,17,2002,0.1,1,1,1,0,0,0,0,,0,6,4,66.7,4,2,0,1,0,0,1,0,1,0,0
Ãlex Berenguer,Torino,25,1995,1.5,0,0,0,0,0,0,4,0.0,4,38,4,10.5,7,25,6,5,1,0,4,0,0,1,0
Rodrigo Bentancur,Juventus,23,1997,25.8,74,45,27,38,9,15,54,27.8,39,537,158,29.4,169,274,94,56,16,0,40,48,122,45,1
IsmaÃ«l Bennacer,Milan,22,1997,14.7,38,24,20,18,0,14,32,43.8,18,298,91,30.5,120,151,27,19,2,0,17,22,60,17,0
Ahmad Benali,Crotone,28,1992,13.5,29,22,16,13,0,13,46,28.3,33,276,78,28.3,114,116,46,13,2,0,11,10,39,19,0
Valon Behrami,Genoa,35,1985,9.9,22,14,9,12,1,9,23,39.1,14,281,59,21.0,110,137,34,22,3,0,19,6,28,16,0
Daniele Baselli,Torino,28,1992,4.4,11,10,2,6,3,5,9,55.6,4,103,36,35.0,36,47,20,5,0,0,5,6,17,6,0
Paolo Bartolomei,Spezia,30,1989,3.6,7,2,3,1,3,1,2,50.0,1,73,12,16.4,19,36,18,3,0,0,3,0,7,1,0
NicolÃ² Barella,Inter,23,1997,32.2,61,41,25,28,8,16,60,26.7,44,568,154,27.1,161,266,141,46,8,0,38,32,93,13,0
TiemouÃ© Bakayoko,Napoli,25,1994,21.8,78,53,25,44,9,16,35,45.7,19,365,123,33.7,116,197,52,26,3,0,23,28,106,25,0
Milan Badelj,Genoa,31,1989,26.8,64,46,30,26,8,21,85,24.7,64,458,127,27.7,165,220,73,60,10,0,50,91,155,46,0
Kristoffer Askildsen,Sampdoria,19,2001,1.1,1,1,0,1,0,0,0,,0,28,5,17.9,11,14,3,3,0,0,3,1,2,2,0
Tolgay Arslan,Udinese,29,1990,20.2,60,39,30,25,5,20,52,38.5,32,352,124,35.2,155,159,38,30,2,0,28,21,81,9,1
Philip Ankhrah,Hellas Verona,17,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0
Sofyan Amrabat,Fiorentina,23,1996,27.1,60,42,22,31,7,23,62,37.1,39,567,154,27.2,161,316,90,46,5,0,41,21,81,20,0
Luis Alberto,Lazio,27,1992,29.1,43,32,17,18,8,14,66,21.2,52,535,154,28.8,131,274,130,38,2,0,36,21,64,12,0
Jean-Daniel Akpa-Akpro,Lazio,27,1992,11.7,46,28,15,26,5,9,27,33.3,18,354,109,30.8,107,178,69,32,6,0,26,19,65,14,0
Lucien Agoume,Spezia,18,2002,8.9,14,11,9,5,0,2,13,15.4,11,151,43,28.5,51,86,14,18,4,0,14,20,34,14,1
Andreas Skov Olsen,Bologna,20,1999,13.1,21,10,11,7,3,8,19,42.1,11,206,42,20.4,73,78,55,23,0,0,23,4,25,20,0
Vittorio Parigini,Genoa,24,1996,0.6,4,1,2,0,2,2,2,100.0,0,15,5,33.3,3,6,6,0,0,0,0,0,4,0,0
Filip ÄuriÄiÄ‡,Sassuolo,28,1992,23.1,33,21,9,15,9,10,27,37.0,17,401,115,28.7,56,168,177,23,1,0,22,8,41,16,0
Mattia Zaccagni,Hellas Verona,25,1995,29.0,35,24,15,14,6,8,27,29.6,19,353,102,28.9,79,147,127,32,5,0,27,33,68,16,1
Simone Verdi,Torino,28,1992,18.0,22,15,9,10,3,10,25,40.0,15,266,69,25.9,87,108,71,10,0,0,10,13,35,5,0
Borja Valero,Fiorentina,35,1985,5.5,12,7,7,5,0,3,12,25.0,9,121,30,24.8,44,59,18,4,1,0,3,7,19,1,0
Riccardo Sottil,Cagliari,21,1999,13.2,10,8,3,5,2,3,10,30.0,7,128,26,20.3,35,58,35,7,1,0,6,4,14,5,0
Marco Sau,Benevento,32,1987,8.7,6,3,2,2,2,2,15,13.3,13,126,21,16.7,25,61,40,8,0,0,8,8,14,3,0
Luis Rojas,Crotone,18,2002,1.2,0,0,0,0,0,0,2,0.0,2,26,6,23.1,5,15,6,0,0,0,0,4,4,1,0
GastÃ³n RamÃ­rez,Sampdoria,29,1990,10.8,28,15,8,13,7,4,26,15.4,22,295,68,23.1,54,136,105,22,3,0,19,7,35,14,0
Roberto Pereyra,Udinese,29,1991,32.5,22,16,9,8,5,7,29,24.1,22,365,90,24.7,92,156,117,47,7,0,40,27,49,22,0
GastÃ³n Pereiro,Cagliari,25,1995,3.0,6,3,2,3,1,2,4,50.0,2,47,10,21.3,12,18,17,3,0,0,3,3,9,2,0
Andreas Pereira,Lazio,24,1996,6.0,3,1,0,3,0,1,9,11.1,8,140,31,22.1,23,77,40,13,0,0,13,4,7,4,0
Lorenzo Pellegrini,Roma,24,1996,28.9,47,38,14,25,8,13,63,20.6,50,505,137,27.1,106,279,120,43,3,0,40,29,76,19,1
Mario PaÅ¡aliÄ‡,Atalanta,25,1995,12.5,27,16,5,19,3,7,17,41.2,10,266,74,27.8,46,156,64,13,2,0,11,9,36,10,0
Adam Ounas,Cagliari,23,1996,3.4,3,1,3,0,0,1,8,12.5,7,64,15,23.4,22,33,9,6,0,0,6,5,8,2,0
Brain Oddei,Sassuolo,17,2002,0.5,2,2,1,1,0,0,0,,0,22,11,50.0,4,12,6,1,1,0,0,1,3,1,1
Junior Messias,Crotone,29,1991,35.7,63,42,28,23,12,16,54,29.6,38,603,162,26.9,161,265,177,44,11,0,33,38,101,41,0
KÃ©vin Malcuit,Napoli,29,1991,0.4,1,0,1,0,0,0,0,,0,11,2,18.2,5,4,2,1,0,0,1,2,3,1,0
Dejan Kulusevski,Juventus,20,2000,21.4,33,25,10,13,10,12,38,31.6,26,441,116,26.3,111,190,140,28,0,0,28,12,45,1,0
