Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Emmanuel RiviÃ¨re,fr FRA,"FW,MF",Crotone,30,1990,7.1,2,0,0,10,17,2,1,4,3,0,0,0,21,11,28,28.2,Matches
Eddy Salcedo,it ITA,"FW,MF",Hellas Verona,18,2001,8.4,3,0,0,14,15,3,11,3,2,1,0,0,49,31,64,32.6,Matches
Nicola Sansone,it ITA,"FW,MF",Bologna,28,1991,13.0,2,0,0,24,41,3,22,9,14,0,0,0,79,6,25,19.4,Matches
Riccardo Saponara,it ITA,"FW,MF",Spezia,28,1991,4.3,2,1,1,4,14,2,5,3,2,0,0,0,27,7,6,53.8,Matches
Stephan El Shaarawy,it ITA,"FW,MF",Roma,27,1992,6.4,1,0,0,8,9,1,10,5,2,0,0,0,41,2,8,20.0,Matches
MattÃ©o Tramoni,fr FRA,"FW,MF",Cagliari,20,2000,0.8,1,0,0,1,1,0,0,1,2,0,0,0,10,0,2,0.0,Matches
Emanuel Vignato,it ITA,"FW,MF",Bologna,19,2000,13.4,4,0,0,13,12,2,36,12,11,0,0,0,113,3,18,14.3,Matches
Joshua Zirkzee,nl NED,"FW,MF",Parma,19,2001,1.3,0,0,0,4,0,0,0,0,2,0,0,0,11,1,12,7.7,Matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,2,0,0,10,12,1,7,4,7,0,0,0,49,0,9,0.0,Matches
AntonÃ­n BarÃ¡k,cz CZE,"MF,FW",Hellas Verona,25,1994,30.7,5,1,0,59,17,4,17,18,29,0,1,0,275,70,94,42.7,Matches
Daniel Bessa,it ITA,"MF,FW",Hellas Verona,27,1993,6.8,1,0,0,16,6,3,11,4,12,0,0,0,36,3,19,13.6,Matches
Hakan Ã‡alhanoÄŸlu,tr TUR,"MF,FW",Milan,26,1994,29.0,4,0,0,29,44,3,62,27,13,1,0,0,192,12,38,24.0,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27,1993,20.7,4,1,0,23,55,9,32,30,16,1,0,0,128,4,32,11.1,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,29,1990,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20,2000,19.7,3,0,0,26,28,3,35,28,28,0,1,0,144,22,33,40.0,Matches
Brahim DÃ­az,es ESP,"MF,FW",Milan,20,1999,13.6,2,0,0,14,29,1,8,6,20,1,0,0,87,6,30,16.7,Matches
Elif Elmas,mk MKD,"MF,FW",Napoli,20,1999,8.2,3,0,0,10,8,1,4,5,9,0,0,0,48,1,7,12.5,Matches
Valentin Eysseric,fr FRA,"MF,FW",Fiorentina,28,1992,8.1,2,0,0,12,11,0,18,9,10,0,0,0,61,8,10,44.4,Matches
Iago Falque,es ESP,"MF,FW",Benevento,30,1990,4.0,0,0,0,0,3,0,14,3,2,0,0,0,36,1,8,11.1,Matches
Amer Gojak,ba BIH,"MF,FW",Torino,23,1997,5.3,1,0,0,12,9,3,15,4,4,0,0,0,33,3,13,18.8,Matches
Roberto Insigne,it ITA,"MF,FW",Benevento,26,1994,17.8,2,0,0,13,17,3,26,7,7,0,0,0,107,7,22,24.1,Matches
Yayah Kallon,sl SLE,"MF,FW",Genoa,19,2001,0.5,0,0,0,0,0,2,0,0,0,0,0,0,4,2,2,50.0,Matches
Rade KruniÄ‡,ba BIH,"MF,FW",Milan,26,1993,8.0,3,0,0,11,21,2,2,4,14,0,1,0,61,10,14,41.7,Matches
Juraj Kucka,sk SVK,"MF,FW",Parma,33,1987,25.9,8,0,0,65,71,4,14,27,42,0,0,0,183,86,57,60.1,Matches
Dejan Kulusevski,se SWE,"MF,FW",Juventus,20,2000,21.4,7,0,0,41,29,5,45,12,25,0,0,0,141,12,38,24.0,Matches
KÃ©vin Malcuit,ma MAR,"MF,FW",Napoli,29,1991,0.4,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,33.3,Matches
Junior Messias,br BRA,"MF,FW",Crotone,29,1991,35.7,6,0,0,35,93,5,60,38,42,1,0,0,237,32,70,31.4,Matches
Brain Oddei,it ITA,"MF,FW",Sassuolo,17,2002,0.5,0,0,0,0,1,0,6,1,2,0,0,0,5,0,0,,Matches
Adam Ounas,dz ALG,"MF,FW",Cagliari,23,1996,3.4,0,0,0,3,9,1,11,5,1,0,0,0,27,3,5,37.5,Matches
Mario PaÅ¡aliÄ‡,hr CRO,"MF,FW",Atalanta,25,1995,12.5,2,0,0,19,10,1,8,9,16,0,0,0,101,19,20,48.7,Matches
Lorenzo Pellegrini,it ITA,"MF,FW",Roma,24,1996,28.9,10,0,0,42,51,6,39,29,38,0,1,0,203,18,34,34.6,Matches
Andreas Pereira,br BRA,"MF,FW",Lazio,24,1996,6.0,7,1,1,13,8,3,24,4,1,0,1,0,49,4,17,19.0,Matches
GastÃ³n Pereiro,uy URU,"MF,FW",Cagliari,25,1995,3.0,0,0,0,2,3,0,6,3,3,0,0,0,29,9,6,60.0,Matches
Roberto Pereyra,ar ARG,"MF,FW",Udinese,29,1991,32.5,8,0,0,38,60,7,35,27,16,1,0,0,238,12,25,32.4,Matches
GastÃ³n RamÃ­rez,uy URU,"MF,FW",Sampdoria,29,1990,10.8,5,0,0,33,33,3,19,7,15,0,0,0,70,29,37,43.9,Matches
Luis Rojas,cl CHI,"MF,FW",Crotone,18,2002,1.2,1,0,0,2,0,0,1,4,0,0,0,0,10,2,0,100.0,Matches
Marco Sau,it ITA,"MF,FW",Benevento,32,1987,8.7,1,1,0,8,19,1,16,8,3,1,0,0,50,8,18,30.8,Matches
Riccardo Sottil,it ITA,"MF,FW",Cagliari,21,1999,13.2,3,0,0,19,34,1,30,4,8,0,0,0,99,5,15,25.0,Matches
Borja Valero,es ESP,"MF,FW",Fiorentina,35,1985,5.5,3,0,0,11,15,1,1,7,7,0,0,0,54,2,6,25.0,Matches
Simone Verdi,it ITA,"MF,FW",Torino,28,1992,18.0,6,0,0,25,24,5,67,13,15,0,0,0,107,4,17,19.0,Matches
Mattia Zaccagni,it ITA,"MF,FW",Hellas Verona,25,1995,29.0,6,0,0,36,109,11,71,33,24,1,0,0,195,53,62,46.1,Matches
Filip ÄuriÄiÄ‡,rs SRB,"MF,FW",Sassuolo,28,1992,23.1,5,0,0,52,39,5,13,8,22,0,0,0,145,24,34,41.4,Matches
Vittorio Parigini,it ITA,"FW,DF",Genoa,24,1996,0.6,0,0,0,0,2,1,3,0,1,0,0,0,4,1,2,33.3,Matches
Andreas Skov Olsen,dk DEN,"FW,DF",Bologna,20,1999,13.1,1,0,0,12,12,2,39,4,10,0,0,0,83,8,10,44.4,Matches
Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,2,0,0,16,9,0,0,20,11,0,0,0,104,10,6,62.5,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,9,0,0,31,12,0,1,18,28,0,0,0,93,9,9,50.0,Matches
Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,5,0,0,20,36,2,37,21,32,0,0,0,257,9,19,32.1,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,7,0,0,59,44,0,10,21,42,0,0,0,256,16,36,30.8,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,9,0,0,38,47,0,9,21,39,0,1,0,189,13,9,59.1,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,2,0,0,3,1,0,1,1,2,0,0,0,5,1,2,33.3,Matches
Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,7,0,0,35,32,1,12,91,46,1,0,0,336,18,14,56.3,Matches
TiemouÃ© Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,6,1,1,36,52,1,1,28,53,1,0,0,193,44,36,55.0,Matches
NicolÃ² Barella,it ITA,MF,Inter,23,1997,32.2,5,0,0,44,53,2,50,32,41,0,1,0,313,33,24,57.9,Matches
Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,1,0,0,4,1,0,9,0,2,0,1,0,18,1,2,33.3,Matches
Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,2,0,0,6,10,0,2,6,10,0,0,0,50,11,9,55.0,Matches
Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,3,1,1,28,21,0,2,6,14,1,0,0,76,15,20,42.9,Matches
Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,2,0,0,12,16,1,16,10,22,0,0,0,126,11,6,64.7,Matches
IsmaÃ«l Bennacer,dz ALG,MF,Milan,22,1997,14.7,4,0,0,20,30,0,7,22,24,1,1,0,177,15,22,40.5,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,8,1,1,45,28,2,8,48,45,0,0,0,297,31,26,54.4,Matches
Ãlex Berenguer,es ESP,MF,Torino,25,1995,1.5,0,0,0,2,3,1,2,0,0,0,0,0,9,1,2,33.3,Matches
Marco Bertini,it ITA,MF,Lazio,17,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,30,1989,25.1,5,0,0,40,41,7,20,38,29,1,0,0,177,27,38,41.5,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,28,1991,5.9,2,0,0,16,6,0,2,8,6,0,1,0,67,12,3,80.0,Matches
Edoardo Bove,it ITA,MF,Roma,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
Marcelo BrozoviÄ‡,hr CRO,MF,Inter,27,1992,28.7,9,1,1,34,13,0,26,39,36,0,0,0,268,29,29,50.0,Matches
GastÃ³n Brugman,uy URU,MF,Parma,27,1992,18.0,7,0,0,27,22,1,16,37,25,0,0,0,167,8,10,44.4,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20,2000,2.0,2,0,0,11,2,0,4,3,3,0,1,0,15,3,0,100.0,Matches
Drissa Camara,ci CIV,MF,Parma,18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33,1987,27.8,1,0,0,15,29,10,153,25,14,1,0,0,207,2,15,11.8,Matches
Giuseppe Caso,it ITA,MF,Genoa,21,1998,0.6,0,0,0,2,2,0,1,2,0,0,0,0,8,1,1,50.0,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23,1997,25.9,8,1,0,41,63,1,30,31,29,0,1,0,182,16,42,27.6,Matches
Danilo Cataldi,it ITA,MF,Lazio,25,1994,6.3,4,0,0,9,5,0,12,9,7,0,1,0,67,2,5,28.6,Matches
Luca Cigarini,it ITA,MF,Crotone,34,1986,10.3,5,1,1,25,18,0,7,10,17,1,0,0,98,8,10,44.4,Matches
FÃ©lix Correia,pt POR,MF,Juventus,19,2001,0.1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,21,1999,2.0,0,0,0,3,1,1,1,1,7,0,0,0,29,0,8,0.0,Matches
Wylan Cyprien,fr FRA,MF,Parma,25,1995,4.6,2,0,0,6,7,0,3,3,6,0,0,0,36,4,2,66.7,Matches
Bryan Dabo,bf BFA,MF,Benevento,28,1992,12.4,5,0,0,18,19,1,14,14,8,0,0,0,128,53,21,71.6,Matches
Ebrima Darboe,gm GAM,MF,Roma,19,2001,3.6,2,0,0,3,3,0,0,13,4,0,0,0,42,2,4,33.3,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26,1994,35.6,5,2,1,35,125,1,114,19,29,0,1,0,267,7,13,35.0,Matches
Alessandro Deiola,it ITA,MF,Spezia,24,1995,4.0,1,0,0,6,5,0,3,2,6,0,0,0,34,3,6,33.3,Matches
Alessandro Deiola,it ITA,MF,Cagliari,24,1995,6.8,2,0,0,12,3,0,4,15,7,0,0,0,61,9,2,81.8,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Diego Demme,de GER,MF,Napoli,28,1991,17.7,6,0,0,33,28,1,8,17,37,0,0,0,168,7,16,30.4,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23,1997,0.9,0,0,0,5,2,2,1,0,0,0,0,0,5,0,4,0.0,Matches
Amad Diallo,ci CIV,MF,Atalanta,18,2002,0.2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Amadou Diawara,gn GUI,MF,Roma,23,1997,7.3,4,1,1,17,4,0,0,9,12,0,0,0,80,3,3,50.0,Matches
NicolÃ¡s DomÃ­nguez,ar ARG,MF,Bologna,22,1998,13.9,8,0,0,23,15,1,11,25,35,0,1,0,167,24,24,50.0,Matches
Alfred Duncan,gh GHA,MF,Cagliari,27,1993,11.9,2,0,0,16,12,0,9,16,15,0,0,0,131,12,14,46.2,Matches
Alfred Duncan,gh GHA,MF,Fiorentina,27,1993,1.8,0,0,0,2,2,0,1,3,1,0,0,0,16,2,5,28.6,Matches
Steeve-Mike Ebongue,fr FRA,MF,Genoa,19,2001,0.6,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,,Matches
Albin Ekdal,se SWE,MF,Sampdoria,31,1989,25.5,9,0,0,49,57,0,3,34,49,0,1,0,309,38,29,56.7,Matches
Manu Emmanuel Gyabuaa,it ITA,MF,Atalanta,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Christian Eriksen,dk DEN,MF,Inter,28,1992,15.4,1,0,0,13,4,1,26,10,8,0,1,0,128,12,5,70.6,Matches
Gonzalo Escalante,ar ARG,MF,Lazio,27,1993,8.1,5,0,0,14,9,0,0,9,19,0,0,0,118,16,18,47.1,Matches
Nahuel EstÃ©vez,ar ARG,MF,Spezia,24,1995,19.6,7,0,0,33,22,0,51,32,13,0,0,0,160,15,23,39.5,Matches
NicolÃ² Fagioli,it ITA,MF,Juventus,19,2001,0.2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Andri Fannar Baldursson,is ISL,MF,Bologna,18,2002,2.4,2,0,0,9,3,1,0,1,3,0,0,0,19,5,5,50.0,Matches
Remo Freuler,ch SUI,MF,Atalanta,28,1992,30.1,5,0,0,40,31,1,18,50,56,0,0,0,383,27,29,48.2,Matches
Roberto Gagliardini,it ITA,MF,Inter,26,1994,13.7,2,0,0,23,17,0,13,15,17,0,0,0,80,24,15,61.5,Matches
Tomislav Gomelt,hr CRO,MF,Crotone,25,1995,0.2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,,Matches
Eduardo Henrique,br BRA,MF,Crotone,25,1995,10.3,4,0,0,18,14,1,1,10,2,0,0,0,83,12,18,40.0,Matches
Hernani,br BRA,MF,Parma,26,1994,24.3,11,0,0,50,24,1,41,20,26,0,0,0,188,36,25,59.0,Matches
PÃ«rparim Hetemaj,fi FIN,MF,Benevento,33,1986,24.6,5,0,0,42,77,1,35,32,37,0,0,0,214,17,39,30.4,Matches
Ivan IliÄ‡,rs SRB,MF,Hellas Verona,19,2001,20.4,2,0,0,24,29,0,15,31,14,0,0,0,247,32,29,52.5,Matches
Artur IoniÈ›Äƒ,md MDA,MF,Benevento,29,1990,31.5,6,0,0,60,24,1,17,35,35,2,0,0,240,71,89,44.4,Matches
Mato Jajalo,ba BIH,MF,Udinese,32,1988,0.4,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,,Matches
Jakub Jankto,cz CZE,MF,Sampdoria,24,1996,26.8,6,0,0,17,28,7,55,19,10,0,1,0,188,8,24,25.0,Matches
Franck KessiÃ©,ci CIV,MF,Milan,23,1996,35.8,8,0,0,65,39,1,16,43,44,1,1,0,352,52,49,51.5,Matches
MÃ¡rk Kosznovszky,hu HUN,MF,Parma,18,2002,1.0,0,0,0,2,0,0,0,3,0,0,0,0,8,0,0,,Matches
Jasmin KurtiÄ‡,si SVN,MF,Parma,31,1989,30.4,5,0,0,46,37,3,48,33,34,0,0,0,238,36,28,56.3,Matches
Lucas Leiva,br BRA,MF,Lazio,33,1987,23.7,10,0,0,47,25,1,7,45,45,0,0,0,320,53,44,54.6,Matches
Lukas Lerager,dk DEN,MF,Genoa,27,1993,12.9,0,0,0,16,16,3,2,13,20,0,0,0,136,10,14,41.7,Matches
Karol Linetty,pl POL,MF,Torino,25,1995,20.4,5,0,0,31,30,1,7,16,30,0,0,0,166,8,15,34.8,Matches
Stanislav Lobotka,sk SVK,MF,Napoli,25,1994,1.7,2,0,0,5,2,0,0,1,1,0,0,0,15,2,2,50.0,Matches
Manuel Locatelli,it ITA,MF,Sassuolo,22,1998,32.0,9,0,0,53,48,1,34,43,52,1,1,0,326,53,44,54.6,Matches
Maxime Lopez,fr FRA,MF,Sassuolo,22,1997,20.7,7,0,0,24,22,0,12,23,19,0,0,0,133,4,10,28.6,Matches
SaÅ¡a LukiÄ‡,rs SRB,MF,Torino,23,1996,23.4,4,0,0,46,36,2,25,15,28,1,0,0,175,26,56,31.7,Matches
Giulio Maggiore,it ITA,MF,Spezia,22,1998,24.6,3,0,0,58,41,4,24,27,48,0,0,0,180,33,29,53.2,Matches
Francesco Magnanelli,it ITA,MF,Sassuolo,35,1984,4.9,2,0,0,5,6,0,1,5,8,0,0,0,68,3,11,21.4,Matches
Jean-Victor Makengo,fr FRA,MF,Udinese,22,1998,5.8,1,0,0,13,4,0,2,3,7,0,0,0,47,8,0,100.0,Matches
Rolando Mandragora,it ITA,MF,Udinese,23,1997,4.4,0,0,0,5,4,1,3,3,5,0,1,0,37,6,2,75.0,Matches
Rolando Mandragora,it ITA,MF,Torino,23,1997,16.9,5,1,1,33,30,1,13,19,17,0,0,0,192,13,13,50.0,Matches
RÄƒzvan Marin,ro ROU,MF,Cagliari,24,1996,32.9,6,0,0,48,24,3,46,26,49,0,0,0,286,15,22,40.5,Matches
Ryder Matos,br BRA,MF,Udinese,27,1993,0.1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,,Matches
Weston McKennie,us USA,MF,Juventus,21,1998,18.9,5,0,0,44,7,4,15,23,28,0,0,0,128,34,29,54.0,Matches
Soualiho MeÃ¯tÃ©,fr FRA,MF,Milan,26,1994,6.5,2,0,0,13,14,2,2,8,12,0,0,0,72,13,8,61.9,Matches
Soualiho MeÃ¯tÃ©,fr FRA,MF,Torino,26,1994,10.2,0,0,0,11,9,1,3,10,6,0,0,0,82,10,8,55.6,Matches
Arthur Melo,br BRA,MF,Juventus,23,1996,12.9,3,0,0,11,20,0,0,16,15,0,0,0,133,1,5,16.7,Matches
Petar MiÄ‡in,rs SRB,MF,Udinese,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Sergej MilinkoviÄ‡-SaviÄ‡,rs SRB,MF,Lazio,25,1995,30.5,4,0,0,57,50,11,49,37,46,2,2,0,244,95,79,54.6,Matches
