Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Andrea Adorante,Parma,20,2000,0.1,2,0,1,2,0,0,2,0,1,0.0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0
Kevin Agudelo,Spezia,21,1998,15.1,564,5,66,286,280,59,548,40,70,57.1,45,2,404,2721,1692,76,33,18,36,34,574,365,63.6,80
Keita BaldÃ©,Sampdoria,25,1995,13.3,499,6,23,225,286,88,481,14,26,53.8,14,0,356,1870,1096,61,16,22,42,22,739,403,54.5,135
Andrea Belotti,Torino,26,1993,32.1,1220,25,90,632,604,161,1164,51,94,54.3,51,1,845,4593,2927,162,71,22,90,62,1578,907,57.5,228
Federico Bonazzoli,Sampdoria,23,1997,1.5,39,0,3,24,17,5,37,2,2,100.0,2,0,28,258,156,6,3,1,1,3,41,25,61.0,10
Federico Bonazzoli,Torino,23,1997,6.3,234,3,16,124,108,27,219,5,11,45.5,5,0,162,661,217,11,5,2,12,9,255,165,64.7,55
Jayden Braaf,Udinese,17,2002,1.3,45,1,3,15,29,9,45,4,5,80.0,4,1,34,203,79,4,1,0,4,3,56,33,58.9,16
Felipe Caicedo,Lazio,31,1988,10.3,383,4,33,191,182,58,375,13,17,76.5,13,1,249,970,449,20,6,6,23,18,469,300,64.0,88
Francesco Caputo,Sassuolo,32,1987,18.9,567,4,36,267,280,123,517,5,9,55.6,5,1,346,1069,472,30,7,13,37,13,815,450,55.2,175
Samu Castillejo,Milan,25,1995,13.1,631,13,93,301,297,46,607,24,43,55.8,27,2,509,3199,1637,75,26,13,19,26,591,446,75.5,57
Alberto Cerri,Cagliari,24,1996,4.1,231,10,21,93,125,40,226,8,12,66.7,8,0,136,530,194,14,4,3,20,12,291,172,59.1,65
Antonio Cioffi,Napoli,17,2002,0.1,13,0,4,7,3,0,13,0,0,,0,0,8,44,11,1,0,0,0,0,11,9,81.8,3
Lorenzo Colombo,Milan,18,2002,1.0,26,2,5,11,13,5,26,0,1,0.0,0,0,14,89,52,4,1,1,2,3,32,14,43.8,0
Andreas Cornelius,Parma,27,1993,21.1,811,26,81,439,326,94,771,14,21,66.7,14,1,405,1724,559,36,9,8,64,29,1129,629,55.7,178
JoaquÃ­n Correa,Lazio,25,1994,21.5,1034,11,72,444,600,149,990,33,70,47.1,37,3,798,3948,2343,132,39,16,75,57,1164,837,71.9,246
Kiril Despodov,Cagliari,23,1996,0.1,3,0,0,2,1,0,3,0,1,0.0,0,0,1,0,0,0,0,0,0,0,5,1,20.0,1
Mattia Destro,Genoa,29,1991,17.8,498,9,47,277,203,78,471,22,45,48.9,25,2,291,1121,538,29,7,6,49,31,763,351,46.0,98
Gerard Deulofeu,Udinese,26,1994,6.6,315,5,28,102,206,45,287,10,21,47.6,10,0,248,1576,1120,71,9,22,15,9,345,238,69.0,50
Samuel Di Carmine,Hellas Verona,31,1988,5.6,221,6,14,120,94,32,210,1,1,100.0,1,0,130,602,214,16,4,4,20,12,331,177,53.5,66
Samuel Di Carmine,Crotone,31,1988,5.3,158,6,19,89,56,12,146,0,1,0.0,0,0,79,274,89,4,3,1,13,8,248,117,47.2,34
Amadou Diambo,Benevento,19,2001,0.0,9,0,0,7,3,0,9,2,3,66.7,2,0,10,31,2,0,0,0,0,0,9,8,88.9,0
Paulo Dybala,Juventus,26,1993,12.6,892,3,67,402,477,67,800,27,43,62.8,27,3,615,3068,1505,91,29,12,37,26,825,698,84.6,119
Edin DÅ¾eko,Roma,34,1986,20.3,771,19,38,360,420,140,729,25,52,48.1,28,2,471,2350,1288,78,25,20,61,42,1011,607,60.0,201
Diego Farias,Spezia,30,1990,16.8,799,6,88,369,391,81,786,24,33,72.7,27,0,617,3218,1687,104,21,28,27,12,837,659,78.7,106
Andrea Favilli,Hellas Verona,23,1997,3.8,163,3,7,76,87,27,158,3,9,33.3,4,0,115,396,143,7,2,4,18,24,256,132,51.6,62
Manolo Gabbiadini,Sampdoria,28,1991,9.7,311,6,40,159,131,30,305,5,8,62.5,5,1,206,920,468,29,10,5,17,6,415,247,59.5,50
Adolfo Gaich,Benevento,21,1999,8.5,261,4,16,142,120,39,254,9,20,45.0,11,4,139,560,242,12,5,2,25,13,409,187,45.7,65
Andrey Galabinov,Spezia,31,1988,4.8,157,5,12,87,65,16,137,3,3,100.0,3,0,85,385,206,8,3,2,16,12,207,110,53.1,34
Gervinho,Parma,33,1987,22.5,748,5,61,313,443,110,729,43,82,52.4,49,5,629,4072,2445,139,36,43,43,45,938,591,63.0,159
Emmanuel Gyasi,Spezia,26,1994,31.7,1244,22,141,597,606,114,1235,37,52,71.2,37,5,997,5184,2342,130,34,37,74,51,1545,975,63.1,197
Zlatan IbrahimoviÄ‡,Milan,38,1981,16.6,759,32,37,333,428,148,707,15,23,65.2,15,0,432,1831,1102,65,30,9,31,19,934,589,63.1,142
Ciro Immobile,Lazio,30,1990,31.7,1241,10,116,475,722,231,1209,32,49,65.3,37,2,882,4428,2282,128,35,36,76,58,1621,993,61.3,304
Roberto Inglese,Parma,28,1991,6.4,207,5,30,114,74,18,195,6,6,100.0,6,0,132,414,102,5,1,1,27,26,300,150,50.0,42
Lorenzo Insigne,Napoli,29,1991,31.8,2279,26,283,1078,1107,180,2104,59,99,59.6,61,4,1677,9681,5972,317,90,52,49,58,2063,1742,84.4,213
Nikola KaliniÄ‡,Hellas Verona,32,1988,11.8,354,6,16,179,179,56,326,6,11,54.5,7,1,242,819,286,18,8,3,31,15,648,271,41.8,101
Augustus Kargbo,Crotone,20,1999,0.4,17,0,1,6,10,0,17,0,1,0.0,0,0,12,10,0,0,0,0,3,3,19,14,73.7,8
Christian KouamÃ©,Fiorentina,22,1997,11.1,487,5,32,228,251,63,470,15,22,68.2,16,0,325,1114,381,19,6,8,42,37,620,378,61.0,124
Viktor Kovalenko,Atalanta,24,1996,0.0,5,1,3,2,0,0,5,0,0,,0,0,2,1,1,0,0,0,1,0,6,3,50.0,1
Antonino La Gumina,Sampdoria,24,1996,3.8,131,6,12,47,75,24,125,4,5,80.0,4,0,80,352,189,12,2,5,17,7,232,92,39.7,36
Gianluca Lapadula,Benevento,30,1990,28.5,819,19,57,370,441,181,761,13,18,72.2,13,1,470,2395,1369,79,27,25,72,45,1232,565,45.9,227
Kevin Lasagna,Udinese,27,1992,12.3,354,8,28,138,203,77,336,7,16,43.8,8,1,209,1085,422,28,7,9,28,14,487,240,49.3,96
Kevin Lasagna,Hellas Verona,27,1992,14.1,443,9,30,221,225,69,414,7,19,36.8,10,0,262,1437,783,39,16,10,49,32,763,315,41.3,125
Rafael LeÃ£o,Milan,21,1999,21.4,712,16,73,315,396,121,689,35,55,63.6,36,1,493,3702,2309,106,34,32,54,25,907,543,59.9,159
Fernando Llorente,Udinese,35,1985,7.9,310,18,46,163,106,32,294,3,5,60.0,3,0,153,413,90,5,1,0,27,11,420,223,53.1,50
Hirving Lozano,Napoli,25,1995,21.8,962,13,103,341,591,150,949,28,56,50.0,29,1,736,5276,3397,197,31,55,41,44,971,709,73.0,192
Romelu Lukaku,Inter,27,1993,32.0,1172,37,65,512,668,239,1113,38,69,55.1,40,2,824,3785,2355,120,46,42,88,62,1569,934,59.5,387
Mario MandÅ¾ukiÄ‡,Milan,34,1986,2.4,74,4,11,36,30,7,72,0,0,,0,0,21,111,50,1,1,0,1,1,92,51,55.4,7
Lautaro MartÃ­nez,Inter,22,1997,28.5,1027,15,92,422,572,208,1012,37,73,50.7,42,1,667,2712,1594,79,24,31,85,55,1196,743,62.1,269
Giuseppe Mastinu,Spezia,28,1991,0.4,19,0,0,16,4,1,19,1,2,50.0,1,0,10,28,3,0,0,0,1,0,20,12,60.0,3
Borja Mayoral,Roma,23,1997,17.2,525,5,26,245,289,88,496,15,25,60.0,16,1,390,1726,846,45,20,14,35,31,869,429,49.4,148
Gabriele Moncini,Benevento,24,1996,4.0,135,4,8,90,43,13,130,3,4,75.0,3,0,74,326,111,5,2,1,19,8,175,107,61.1,33
Ãlvaro Morata,Juventus,27,1992,22.4,894,24,73,426,455,148,861,27,42,64.3,27,4,580,3025,1715,74,33,18,62,39,1054,688,65.3,228
Luis Muriel,Atalanta,29,1991,16.0,1030,6,52,382,661,149,940,55,96,57.3,57,10,761,4014,2206,127,39,34,53,47,1149,781,68.0,246
Vedat Muriqi,Lazio,26,1994,9.2,388,19,45,166,191,76,386,6,11,54.5,7,0,225,877,250,13,3,4,27,17,519,302,58.2,103
Ilija Nestorovski,Udinese,30,1990,7.8,285,6,31,130,138,45,273,4,8,50.0,7,1,178,481,193,7,7,0,8,8,341,200,58.7,59
Simeon Nwankwo,Crotone,28,1992,32.7,1133,63,113,654,402,133,1037,32,48,66.7,33,1,654,1842,765,46,14,9,112,74,1452,774,53.3,233
M'Bala Nzola,Spezia,23,1996,21.1,778,21,42,402,370,108,718,22,35,62.9,23,1,519,2393,832,46,17,13,88,52,1169,543,46.4,183
Stefano Okaka,Udinese,30,1989,16.5,505,27,57,263,200,74,472,16,22,72.7,17,0,330,1374,406,20,6,5,50,33,694,356,51.3,120
Victor Osimhen,Napoli,21,1998,17.5,476,10,23,196,287,110,465,16,25,64.0,18,2,298,1845,1029,58,18,24,41,28,731,341,46.6,121
Rodrigo Palacio,Bologna,38,1982,27.8,1332,32,90,604,730,172,1262,43,75,57.3,46,2,951,5712,3014,168,41,47,75,62,1653,1057,63.9,315
Leonardo Pavoletti,Cagliari,31,1988,17.6,613,36,87,313,224,84,595,3,6,50.0,4,0,296,915,223,10,2,3,47,11,870,451,51.8,88
Graziano PellÃ¨,Parma,35,1985,6.8,277,8,24,146,115,39,262,1,4,25.0,2,1,144,371,40,2,1,2,13,16,357,221,61.9,67
Andrea Petagna,Napoli,25,1995,10.7,343,11,38,154,176,92,327,7,13,53.8,8,1,231,1374,516,28,6,18,18,12,453,261,57.6,81
Roberto Piccoli,Spezia,19,2001,7.8,258,7,13,123,132,37,236,2,4,50.0,2,0,135,504,224,11,6,1,42,14,369,173,46.9,66
Andrea Pinamonti,Inter,21,1999,1.9,80,2,12,29,43,11,79,2,2,100.0,2,0,53,162,49,4,1,2,8,5,90,63,70.0,22
Matteo Politano,Napoli,26,1993,21.2,1133,24,140,430,665,83,1052,38,61,62.3,42,0,871,6316,3805,198,46,32,37,30,1015,847,83.4,121
Ignacio Pussetto,Udinese,24,1995,8.4,320,10,35,134,183,51,310,13,21,61.9,14,1,217,1236,790,32,13,10,21,21,323,203,62.8,66
Fabio Quagliarella,Sampdoria,37,1983,24.5,792,14,82,390,361,106,736,16,31,51.6,18,3,488,1877,841,45,11,9,49,36,1181,580,49.1,200
Simone Rabbi,Bologna,18,2001,0.4,19,0,3,11,9,2,17,0,0,,0,0,15,95,48,1,1,0,3,4,24,14,58.3,9
Antonio Raimondo,Bologna,16,2004,0.0,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ante RebiÄ‡,Milan,26,1993,19.7,734,19,55,219,493,126,714,25,47,53.2,26,2,470,2282,1417,86,16,23,48,44,814,522,64.1,167
Franck RibÃ©ry,Fiorentina,37,1983,23.9,1224,6,89,661,603,102,1206,61,97,62.9,66,2,1096,6070,3208,189,62,37,52,103,1210,992,82.0,130
Federico Ricci,Sassuolo,26,1994,0.0,5,0,0,4,2,0,5,0,0,,0,0,4,11,5,1,0,0,1,0,6,5,83.3,0
Cristiano Ronaldo,Juventus,35,1985,31.1,1462,19,75,675,846,213,1398,58,90,64.4,59,2,1075,6441,4188,265,85,59,54,45,1678,1207,71.9,291
Alexis Saelemaekers,Milan,21,1999,22.4,1154,14,163,492,567,61,1138,44,66,66.7,45,1,790,4076,2125,105,32,9,42,30,1073,835,77.8,134
Antonio Sanabria,Torino,24,1996,10.9,387,7,28,209,178,42,378,9,19,47.4,10,2,272,1418,549,27,8,5,25,20,547,301,55.0,63
Alexis SÃ¡nchez,Inter,31,1988,12.7,718,2,69,313,389,84,681,28,41,68.3,29,1,549,2668,1090,67,21,13,36,36,734,557,75.9,148
Federico Santander,Bologna,29,1991,0.4,26,0,1,8,17,10,25,0,0,,0,0,14,49,10,1,0,1,1,1,27,20,74.1,6
Riccardo Saponara,Fiorentina,28,1991,0.6,47,0,5,29,21,1,46,0,0,,0,0,35,177,84,5,4,0,1,2,46,39,84.8,6
Gianluca Scamacca,Genoa,21,1999,15.0,559,18,61,275,256,64,540,14,23,60.9,14,1,330,1606,838,42,16,7,40,33,717,393,54.8,102
Eldor Shomurodov,Genoa,25,1995,18.6,735,15,76,358,350,81,723,17,41,41.5,20,1,456,2095,1116,45,20,9,67,36,1061,542,51.1,161
Luca Siligardi,Parma,32,1988,0.4,28,0,2,9,17,3,25,0,2,0.0,0,0,14,45,15,1,0,0,2,1,19,18,94.7,8
Giovanni Simeone,Cagliari,25,1995,19.3,572,19,64,281,254,83,531,21,26,80.8,22,2,335,1604,677,39,12,11,47,29,798,362,45.4,123
Mattia Sprocati,Parma,27,1993,0.2,5,0,1,3,1,0,5,0,0,,0,0,1,3,0,0,0,0,0,0,4,4,100.0,0
Ernesto Torregrossa,Sampdoria,28,1992,1.9,73,1,5,25,45,11,70,2,6,33.3,3,0,46,180,78,4,2,1,5,7,102,51,50.0,15
Daniele Verde,Spezia,24,1996,10.9,504,9,54,211,274,59,471,10,16,62.5,10,1,371,2311,1069,80,13,16,11,12,498,377,75.7,58
Edoardo Vergani,Bologna,19,2001,0.1,3,0,0,2,1,0,3,0,0,,0,0,3,1,0,0,0,0,1,0,3,3,100.0,1
DuÅ¡an VlahoviÄ‡,Fiorentina,20,2000,32.5,1077,15,73,513,566,157,1041,36,68,52.9,38,0,717,2949,1352,69,30,15,95,100,1657,835,50.4,268
DuvÃ¡n Zapata,Atalanta,29,1991,26.4,1276,23,61,449,837,274,1225,40,91,44.0,47,2,990,4715,2414,149,36,54,108,93,1670,1043,62.5,404
Simone Zaza,Torino,29,1991,16.6,560,7,43,252,289,91,545,9,21,42.9,12,3,323,1053,371,24,8,7,52,22,817,414,50.7,107
Musa Barrow,Bologna,21,1998,32.5,1599,24,171,726,820,144,1475,36,78,46.2,45,2,1072,5800,3096,187,55,26,98,63,1791,1205,67.3,265
Domenico Berardi,Sassuolo,25,1994,27.5,1684,43,206,661,936,125,1580,30,57,52.6,30,7,1228,7310,4061,223,58,33,47,42,1484,1241,83.6,200
Jeremie Boga,Sassuolo,23,1997,19.8,1045,23,148,449,564,81,1023,83,145,57.2,91,5,925,5510,3036,166,53,24,45,50,1081,862,79.7,121
Juan Brunetta,Parma,23,1997,5.3,263,1,24,154,103,17,239,17,24,70.8,18,1,204,1270,618,32,10,2,18,9,265,188,70.9,40
JosÃ© CallejÃ³n,Fiorentina,33,1987,7.4,337,9,32,171,158,17,317,5,7,71.4,5,1,235,1061,544,31,12,1,6,10,320,246,76.9,39
Ebrima Colley,Hellas Verona,20,2000,8.2,395,3,34,190,215,33,391,16,26,61.5,17,2,309,1815,945,49,26,5,27,27,450,301,66.9,74
Patrick Cutrone,Fiorentina,22,1998,2.2,81,1,3,41,41,7,78,0,1,0.0,0,0,53,287,112,6,0,1,3,9,103,58,56.3,26
GrÃ©goire Defrel,Sassuolo,29,1991,14.9,568,8,58,275,279,59,552,13,24,54.2,15,0,405,2319,1045,55,21,2,25,22,597,419,70.2,108
Jacopo Dezi,Parma,28,1992,0.9,55,0,5,31,21,2,47,1,2,50.0,1,0,29,95,21,2,1,0,0,2,42,35,83.3,6
Giuseppe Di Serio,Benevento,19,2001,3.2,119,3,14,54,59,11,117,4,4,100.0,4,0,79,476,286,15,5,3,10,11,165,90,54.5,18
Denis DrÄƒguÈ™,Crotone,21,1999,2.0,107,0,8,51,57,4,106,6,8,75.0,7,1,83,401,156,7,5,0,12,8,114,82,71.9,21
Fernando Forestieri,Udinese,30,1990,6.1,279,1,28,125,141,28,270,12,16,75.0,13,0,205,915,388,20,7,1,14,9,286,199,69.6,38
Papu GÃ³mez,Atalanta,32,1988,7.4,516,4,51,282,240,21,484,22,30,73.3,22,0,416,2923,1618,86,36,3,8,10,471,406,86.2,40
LukÃ¡Å¡ HaraslÃ­n,Sassuolo,24,1996,3.7,202,6,32,74,116,23,181,7,13,53.8,8,0,141,764,490,28,7,5,5,8,174,138,79.3,42
Josip IliÄiÄ‡,Atalanta,32,1988,17.0,1303,2,68,552,793,109,1238,56,88,63.6,58,6,1105,5966,3374,205,68,36,49,64,1345,1091,81.1,205
Hamed Junior TraorÃ¨,Sassuolo,20,2000,19.9,1117,18,168,519,522,69,1048,45,69,65.2,49,8,829,4437,2390,118,40,10,41,41,1015,808,79.6,116
Yann Karamoh,Parma,22,1998,14.4,542,14,85,263,259,49,537,37,55,67.3,39,2,438,2526,1647,74,29,13,35,28,583,393,67.4,107
Justin Kluivert,Roma,21,1999,0.2,14,0,3,6,9,0,13,0,0,,0,0,8,94,69,4,3,0,1,1,12,7,58.3,2
Aleksandr Kokorin,Fiorentina,29,1991,1.0,35,0,3,17,17,1,32,0,0,,0,0,18,73,42,2,2,0,2,0,42,25,59.5,12
Sam Lammers,Atalanta,23,1997,3.2,178,5,10,70,104,32,175,16,20,80.0,17,0,150,426,217,14,4,5,16,11,216,146,67.6,53
Fernando Llorente,Napoli,35,1985,0.6,31,0,1,8,22,12,31,1,2,50.0,1,0,19,44,15,1,0,0,3,1,41,26,63.4,14
Daniel Maldini,Milan,18,2001,0.3,21,0,4,8,12,1,21,1,1,100.0,1,0,15,95,80,2,1,0,1,0,21,15,71.4,3
Ruslan Malinovskyi,Atalanta,27,1993,20.8,1443,9,114,622,819,83,1330,53,84,63.1,56,3,1130,6078,3364,194,61,20,45,61,1320,1110,84.1,207
Dennis Man,Parma,21,1998,7.8,348,6,53,170,159,32,346,13,17,76.5,13,2,248,1586,854,41,16,4,17,14,336,259,77.1,56
Dries Mertens,Napoli,33,1987,16.2,638,9,49,243,371,91,571,13,25,52.0,14,1,392,1682,966,65,14,8,14,11,649,448,69.0,129
Valentin Mihaila,Parma,20,2000,7.8,298,9,43,128,158,38,290,14,26,53.8,16,0,213,1456,819,37,14,7,26,7,327,217,66.4,59
Vincenzo Millico,Torino,19,2000,0.2,11,0,0,6,5,0,10,0,1,0.0,0,0,8,49,18,1,0,0,0,0,9,8,88.9,1
Aleksei Miranchuk,Atalanta,24,1995,7.5,510,2,38,226,289,41,493,16,26,61.5,16,1,399,2066,948,65,23,10,13,17,480,382,79.6,84
Henrikh Mkhitaryan,Roma,31,1989,30.5,1587,17,173,790,778,160,1559,46,76,60.5,47,4,1067,6563,4287,199,87,42,32,44,1515,1175,77.6,246
Riccardo Orsolini,Bologna,23,1997,19.5,993,28,179,419,460,77,909,39,66,59.1,43,4,670,3343,2026,110,25,14,39,33,896,689,76.9,120
Adam Ounas,Crotone,23,1996,13.3,660,5,84,383,288,48,628,46,68,67.6,48,3,553,3371,2133,79,42,15,23,40,638,497,77.9,71
Goran Pandev,Genoa,37,1983,15.6,630,8,66,335,262,60,608,12,21,57.1,12,1,468,2017,911,44,15,6,48,34,764,470,61.5,132
Javier Pastore,Roma,31,1989,0.9,68,0,9,41,19,0,68,2,2,100.0,2,0,49,231,120,8,0,0,2,1,57,54,94.7,8
Pedro,Roma,33,1987,17.7,843,8,92,453,378,60,827,27,42,64.3,28,2,681,4599,2284,126,46,11,37,17,843,683,81.0,124
JoÃ£o Pedro,Cagliari,28,1992,36.1,1383,47,160,663,629,162,1353,34,64,53.1,38,3,897,4330,1939,96,35,10,72,52,1604,1048,65.3,235
Carles PÃ©rez,Roma,22,1998,8.6,414,6,37,198,211,39,395,16,32,50.0,17,1,312,1861,998,50,21,12,16,18,415,311,74.9,57
Jens Petter Hauge,Milan,20,1999,5.9,261,5,28,102,147,26,256,14,20,70.0,15,0,197,851,433,20,6,2,10,12,274,196,71.5,43
Marko Pjaca,Genoa,25,1995,15.8,700,12,101,376,284,51,689,26,47,55.3,28,3,541,2897,1617,90,39,13,36,39,793,560,70.6,112
Manolo Portanova,Juventus,20,2000,0.8,40,1,12,20,12,2,39,0,0,,0,0,26,151,99,4,1,0,0,1,37,28,75.7,3
Giacomo Raspadori,Sassuolo,20,2000,13.7,497,18,46,186,289,72,428,15,27,55.6,15,1,341,1603,612,32,6,12,29,25,564,351,62.2,138
Emmanuel RiviÃ¨re,Crotone,30,1990,7.1,225,2,16,139,81,22,221,2,6,33.3,2,0,156,573,242,9,6,1,25,8,329,179,54.4,57
Eddy Salcedo,Hellas Verona,18,2001,8.4,380,6,41,175,185,37,367,10,17,58.8,12,0,244,1095,603,32,13,6,17,21,468,286,61.1,51
Nicola Sansone,Bologna,28,1991,13.0,750,16,109,345,352,58,698,26,46,56.5,30,2,568,2973,1619,91,28,18,27,32,674,536,79.5,78
Riccardo Saponara,Spezia,28,1991,4.3,181,10,32,79,85,21,179,8,12,66.7,8,0,149,961,582,34,6,8,9,3,199,140,70.4,16
Stephan El Shaarawy,Roma,27,1992,6.4,309,4,39,115,177,44,304,9,18,50.0,9,2,242,1595,911,51,17,12,8,6,329,238,72.3,55
MattÃ©o Tramoni,Cagliari,20,2000,0.8,34,1,11,12,11,0,34,0,2,0.0,0,0,20,42,15,0,0,0,2,4,17,13,76.5,2
Emanuel Vignato,Bologna,19,2000,13.4,840,22,142,393,365,36,777,23,37,62.2,24,0,619,3739,1959,90,33,14,13,18,728,599,82.3,49
Joshua Zirkzee,Parma,19,2001,1.3,47,1,5,25,19,5,45,3,3,100.0,3,0,20,71,36,4,0,1,4,1,70,27,38.6,9
Gennaro Acampora,Spezia,26,1994,4.9,290,8,33,172,115,8,286,5,12,41.7,7,1,219,1432,601,28,14,1,8,12,247,210,85.0,14
AntonÃ­n BarÃ¡k,Hellas Verona,25,1994,30.7,1603,60,248,952,517,89,1565,31,48,64.6,33,0,1055,6046,3011,136,60,17,31,34,1447,1107,76.5,114
Daniel Bessa,Hellas Verona,27,1993,6.8,373,4,39,183,179,15,366,2,7,28.6,3,1,281,1643,907,44,16,4,12,14,377,295,78.2,45
Hakan Ã‡alhanoÄŸlu,Milan,26,1994,29.0,1987,31,210,921,983,85,1733,35,57,61.4,36,3,1289,6999,3786,217,71,25,56,40,1705,1401,82.2,203
Gianluca Caprari,Benevento,27,1993,20.7,1008,11,139,458,505,85,889,46,95,48.4,51,5,753,4482,2306,112,31,18,48,57,922,662,71.8,137
Douglas Costa,Juventus,29,1990,0.5,28,0,4,15,11,0,24,0,0,,0,0,17,125,86,3,1,0,0,0,29,21,72.4,3
Mikkel Damsgaard,Sampdoria,20,2000,19.7,1048,18,162,486,477,65,1001,51,86,59.3,53,1,736,3487,2076,112,31,14,43,40,955,701,73.4,123
Brahim DÃ­az,Milan,20,1999,13.6,664,7,63,331,325,55,641,33,52,63.5,34,1,509,2648,1367,74,25,6,34,36,674,498,73.9,93
Elif Elmas,Napoli,20,1999,8.2,449,8,65,245,169,28,442,11,17,64.7,11,1,329,1642,831,43,18,7,10,13,442,351,79.4,37
Valentin Eysseric,Fiorentina,28,1992,8.1,449,12,68,226,181,17,427,4,11,36.4,6,2,312,1644,855,49,15,3,10,9,367,311,84.7,41
Iago Falque,Benevento,30,1990,4.0,258,3,22,133,128,18,239,6,11,54.5,7,2,201,1389,694,39,14,4,9,9,236,185,78.4,36
